ANO;MES;PERFIL_CARGA;TIPO_MERCADORIA;MOVIMENTACAO;NAVEGACAO;TIPO_INSTALACAO;TOTAL_TONELADAS;TOTAL_TEU;TOTAL_UNIDADE
2020;1;CARGA GERAL;ACIDO ACETICO ACRILATO DE BUTILA E PROPANOL;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;180.374;0;0
2020;1;CARGA GERAL;ACIDO ACETICO E CUMENO;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;176.265;0;0
2020;1;CARGA GERAL;ACIDO ACETICO ESTIRENO ACETATO DE VINILA PROPILENO GLICOL;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;155.211;0;0
2020;1;CARGA GERAL;ACIDO ACETICO ESTIRENO ACETATO DE VINILA PROPILENO GLICOL;;IMPORTACAO/LONGO CURSO;TUP;17.246;0;0
2020;1;CARGA GERAL;ACRILATO DE BUTILA ACIDO ACRILICO 2 ETIL HEXANOL;;IMPORTACAO/CABOTAGEM;PORTO ORGANIZADO;60.778;0;0
2020;1;CARGA GERAL;ACRILATO DE BUTILA ACIDO ACRILICO 2 ETIL HEXANOL;;IMPORTACAO/CABOTAGEM;TUP;7.597;0;0
2020;1;CARGA GERAL;AROMATICO PESADO;;IMPORTACAO/CABOTAGEM;PORTO ORGANIZADO;35.084;0;0
2020;1;CARGA GERAL;B T X;;IMPORTACAO/CABOTAGEM;PORTO ORGANIZADO;31.207;0;0
2020;1;CARGA GERAL;B T X;;IMPORTACAO/CABOTAGEM;TUP;10.402;0;0
2020;1;CARGA GERAL;CLORETO DE POTASSIO;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;239.650;0;0
2020;1;CARGA GERAL;CLORETO DE POTASSIO;;IMPORTACAO/LONGO CURSO;TUP;372.906;0;0
2020;1;CARGA GERAL;CONTAINER;;IMPORT/EXPORT/CABOTAGEM;TUP;0;0;0
2020;1;CARGA GERAL;CONTAINER;;IMPORT/EXPORT/LONGO CURSO;TUP;0;0;0
2020;1;CARGA GERAL;CONTEINERES;;IMPORT/EXPORT/LONGO CURSO;TUP;0;0;0
2020;1;CARGA GERAL;FERTILIZANTE;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;298.439;0;0
2020;1;CARGA GERAL;G L P;;IMPORTACAO/MERCOSUL;PORTO ORGANIZADO;112.500;0;0
2020;1;CARGA GERAL;GASOLIN E NAFTA;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;791.517;0;0
2020;1;CARGA GERAL;GASOLINA COMUM;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;164.576;0;0
2020;1;CARGA GERAL;MAP;;IMPORTACAO/LONGO CURSO;TUP;748.541;0;0
2020;1;CARGA GERAL;NITRATO DE AMONIO;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;2.779.879;0;0
2020;1;CARGA GERAL;NITRATO POTASSIO;;IMPORTACAO/LONGO CURSO;TUP;231.664;0;0
2020;1;CARGA GERAL;NITRO 11;;IMPORT/EXPORT/LONGO CURSO;PORTO ORGANIZADO;110.289;0;0
2020;1;CARGA GERAL;NPK 16;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;20.116;0;0
2020;1;CARGA GERAL;OLEO DIESEL;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;20.526;0;0
2020;1;CARGA GERAL;P D QS;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;65.201;0;0
2020;1;CARGA GERAL;SAL;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;275.876;0;0
2020;1;CARGA GERAL;SAL A GRANEL;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;752.727;0;0
2020;1;CARGA GERAL;SODA COMERCIAL;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;104.994;0;0
2020;1;CARGA GERAL;SULFATO DE SODIO;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;3.699.544;1051700;2183
2020;1;CARGA GERAL;SULFATO GRANULADO;;IMPORTACAO/LONGO CURSO;TUP;1.474.241;0;0
2020;1;CARGA GERAL;TRIGO A GRANEL;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;4.705.075;0;0
2020;1;CARGA GERAL;UREIA;;IMPORTACAO/LONGO CURSO;TUP;814.037;0;0
2020;1;CARGA GERAL;UREIA GRANULADA;;IMPORTACAO/LONGO CURSO;TUP;880.163;0;0
2020;1;CARGA GERAL;VEICULOS;;IMPORTACAO/LONGO CURSO;TUP;1.040;604;8
2020;1;CARGA GERAL;VOLUMES;;IMPORT/EXPORT/LONGO CURSO;TUP;848;220;12
2020;1;CARGA GERAL;VOLUMES;;IMPORTACAO/LONGO CURSO;TUP;1.684;192;5
2020;1;CONTEINER;ACUCAR;;EXPORTACAO/LONGO CURSO;TUP;3.909.587;0;0
2020;1;CONTEINER;ACUCAR A GRANEL;;EXPORTACAO/LONGO CURSO;TUP;4.417.941;0;0
2020;1;CONTEINER;ACUCAR GRANEL;;EXPORTACAO/LONGO CURSO;TUP;708.200;0;0
